origin,destination,distance_km,duration_hours,origin_lat,origin_lon,destination_lat,destination_lon,avg_speed_kmh
Aracaju,São Luís,1226.6090787595883,15.332613484494852,-10.9091,-37.0748,-2.5307,-44.3068,80.00000000000001
Teresina,Recife,935.0566105870348,11.688207632337932,-5.0892,-42.8016,-8.0476,-34.877,80.00000000000003
Teresina,Salvador,995.3928629997782,12.442410787497227,-5.0892,-42.8016,-12.9714,-38.5014,80.0
Teresina,Fortaleza,497.31988119776975,6.2164985149721215,-5.0892,-42.8016,-3.7327,-38.527,80.0
Teresina,Natal,843.8732908619849,10.548416135774811,-5.0892,-42.8016,-5.7945,-35.211,80.0
Teresina,João Pessoa,906.1103430634612,11.326379288293268,-5.0892,-42.8016,-7.115,-34.8631,79.99999999999999
Teresina,Maceió,930.5061841518228,11.631327301897784,-5.0892,-42.8016,-9.6658,-35.7352,80.00000000000001
Teresina,Aracaju,903.3693168557828,11.292116460697285,-5.0892,-42.8016,-10.9091,-37.0748,80.0
Teresina,São Luís,329.8793043675066,4.123491304593832,-5.0892,-42.8016,-2.5307,-44.3068,80.0
São Luís,Recife,1210.596146039139,15.132451825489238,-2.5307,-44.3068,-8.0476,-34.877,80.0
São Luís,Salvador,1325.0432457454529,16.56304057181816,-2.5307,-44.3068,-12.9714,-38.5014,80.0
São Luís,Fortaleza,655.4832176581715,8.193540220727144,-2.5307,-44.3068,-3.7327,-38.527,80.0
São Luís,Natal,1071.9013381368943,13.398766726711182,-2.5307,-44.3068,-5.7945,-35.211,79.99999999999999
São Luís,João Pessoa,1163.670553715409,14.54588192144261,-2.5307,-44.3068,-7.115,-34.8631,80.0
São Luís,Maceió,1235.485755638741,15.443571945484262,-2.5307,-44.3068,-9.6658,-35.7352,80.0
São Luís,Aracaju,1226.6090787595883,15.332613484494852,-2.5307,-44.3068,-10.9091,-37.0748,80.00000000000001
São Luís,Teresina,329.8793043675066,4.123491304593832,-2.5307,-44.3068,-5.0892,-42.8016,80.0
