source,price_raw,area_raw,address_raw,type,city
VivaReal,R$ 105.482,38 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
VivaReal,R$ 500.000,166 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
VivaReal,R$ 120.883,38 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
VivaReal,R$ 400.000,216 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
VivaReal,R$ 900,37 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
VivaReal,R$ 9.000,260 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
VivaReal,R$ 465.000,220 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
VivaReal,R$ 126.927,40 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
VivaReal,R$ 250.000,100 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
VivaReal,R$ 1.200,38 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
VivaReal,R$ 250.000,150 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
VivaReal,R$ 639.900,250 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
VivaReal,R$ 129.949,38 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
VivaReal,R$ 424.000,308 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
VivaReal,R$ 111.817,37 m²,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
OLX,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 105.482,38 m²,N/A,aluguel,Salvador
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 500.000,166 m²,N/A,aluguel,Salvador
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 120.883,38 m²,N/A,aluguel,Salvador
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 400.000,216 m²,N/A,aluguel,Salvador
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 900,37 m²,N/A,aluguel,Salvador
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 9.000,260 m²,N/A,aluguel,Salvador
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 126.927,40 m²,N/A,aluguel,Salvador
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 250.000,100 m²,N/A,aluguel,Salvador
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 465.000,220 m²,N/A,aluguel,Salvador
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 1.200,38 m²,N/A,aluguel,Salvador
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 250.000,150 m²,N/A,aluguel,Salvador
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 639.900,250 m²,N/A,aluguel,Salvador
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 129.949,38 m²,N/A,aluguel,Salvador
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 424.000,308 m²,N/A,aluguel,Salvador
ZapImoveis,N/A,N/A,N/A,aluguel,Salvador
ZapImoveis,R$ 111.817,37 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 81.000,200 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 85.000,07140 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 85.000,08200 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 118.961,1944 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 76.341,172 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 480.000,1080 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 89.459,44 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 870.000,153 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 83.136,45 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 1.700,68 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 4.896,140 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 1.002.516,96 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 2.700,80 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 1.000.000,131 m²,N/A,aluguel,Salvador
VivaReal,N/A,N/A,N/A,aluguel,Salvador
VivaReal,R$ 1.000.000,131 m²,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
OLX,N/A,N/A,N/A,aluguel,Salvador
